chrom	window_start	window_end	WW5-5	WW2-6	WW5-3	WW5-6	WW5-4	WW1-4	WW2-1	WW5-1	WW3-1	WW1-2	BH3-2	WW2-5
OX359246.1	12000000	12200000	0.00294	0.00103	0.00204	0.00136	0.0017	0.007055	0.00293	0.002455	0.00135	0.00087	0.0068	0.001485
OX359246.1	12200000	12400000	0.00181	0.00193	0.002625	0.00286	0.001125	0.00865	0.00201	0.001235	0.00137	0.00267	0.0077	0.00245
OX359246.1	12400000	12600000	0.00066	0.000755	0.00209	0.00045	0.00079	0.004055	0.00065	0.00047	0.000525	0.00055	0.006495	0.00045
OX359246.1	12600000	12800000	0.001035	0.000825	0.001325	0.001265	0.002405	0.00429	0.001545	0.002095	0.00151	0.0002	0.005975	0.00159
OX359246.1	12800000	13000000	0.00252	0.002505	0.00304	0.002545	0.000785	0.00253	0.002115	0.00248	0.00243	0.00188	0.0032	0.002415
OX359246.1	13000000	13200000	0.001395	0.000915	0.00237	0.00124	0.00218	0.001845	0.003225	0.00237	0.002225	0.003735	0.002275	0.00221
OX359246.1	13200000	13400000	0.00206	0.00381	0.004325	0.003285	0.003855	0.007405	0.00527	0.00245	0.005185	0.003205	0.006465	0.005015
OX359246.1	13400000	13600000	0.002125	0.005005	0.00223	0.001815	0.00446	0.00684	0.004555	0.00494	0.001175	0.001235	0.005345	0.002155
OX359246.1	13600000	13800000	0.001685	0.00626	0.007115	0.001815	0.006095	0.00728	0.00645	0.00764	0.006505	0.006445	0.0095	0.005005
OX359246.1	13800000	14000000	0.00105	0.007575	0.00577	0.003825	0.00706	0.006555	0.005325	0.00638	0.00597	0.008505	0.010495	0.003985
OX359246.1	14000000	14200000	0.0008	0.00065	0.003165	0.00435	0.001165	0.00401	0.00041	0.0026	0.003875	0.003185	0.00642	0.00049
OX359246.1	14200000	14400000	0.00426	0.00073	0.000725	0.00095	0.001	0.004405	0.00084	0.00093	0.0009	0.000935	0.00462	0.00061
OX359246.1	14400000	14600000	0.006735	0.00544	0.00223	0.006165	0.001795	0.00867	0.00348	0.00135	0.00595	0.004855	0.005265	0.006425
OX359246.1	14600000	14800000	0.003595	0.00118	0.00169	0.002235	0.002745	0.00613	0.002515	0.0009	0.002955	0.00369	0.00802	0.00212
OX359246.1	14800000	15000000	0.001485	0.001625	0.00121	0.00081	0.001525	0.00384	0.002265	0.001615	0.00161	0.001605	0.006	0.00146
OX359246.1	15000000	15200000	0.001035	0.001	0.000945	0.001055	0.000435	0.00054	0.00053	0.000415	0.00044	0.00082	0.003575	0.000595
OX359246.1	15200000	15400000	0.00022	0.003195	0.00181	0.00193	0.000235	0.007795	0.005785	0.00049	0.00193	0.00575	0.007265	0.00191
OX359246.1	15400000	15600000	0.00236	0.00286	0.00322	0.00284	0.003475	0.0074	0.0027	0.002685	0.004295	0.002815	0.00575	0.003575
OX359246.1	15600000	15800000	0.000635	0.00055	0.00054	0.000505	0.000695	0.002965	0.000575	0.00051	0.0006	0.00053	0.00075	0.000745
OX359246.1	15800000	16000000	0.000365	0.00044	0.00028	0.000145	0.000335	0.002855	0.001645	0.00036	0.00022	0.000155	0.006845	0.000385
OX359246.1	16000000	16200000	0.001265	0.001575	0.000925	0.00403	0.00135	0.00801	0.005065	0.001235	0.00116	0.000995	0.006875	0.001495
OX359246.1	16200000	16400000	0.00282	0.00018	0.00296	0.000465	0.00294	0.007695	0.000455	0.00014	6.5e-05	0.00059	0.00632	2.5e-05
OX359246.1	16400000	16600000	0.004325	0.000435	0.006775	0.005825	0.001855	0.008065	0.004055	0.0028	0.006175	0.00874	0.00745	0.007295
OX359246.1	16600000	16800000	0.012755	0.00538	0.017955	0.010745	0.009745	0.00187	0.005415	0.01393	0.00414	0.00995	0.01036	0.00571
OX359246.1	16800000	17000000	0.003105	0.005615	0.00589	0.0052	0.00131	0.005135	0.001205	0.00563	0.00589	0.00484	0.005165	0.00655
OX359246.1	17000000	17200000	0.002265	0.003155	0.00636	0.00553	0.00108	0.00635	0.001265	0.003545	0.00778	0.000265	0.00426	0.005545
OX359246.1	17200000	17400000	0.00184	0.006805	0.003355	0.003555	0.00247	0.00944	0.001775	0.000645	0.00319	0.000595	0.008045	0.00086
OX359246.1	17400000	17600000	0.00221	0.00237	0.002305	0.00189	0.003445	0.008865	0.00269	0.002055	0.0019	0.00277	0.00838	0.002865
OX359246.1	17600000	17800000	0.000625	0.000525	0.000915	0.0013	0.0025	0.002805	0.00108	0.001055	0.00093	0.000675	0.00253	0.001025
OX359246.1	17800000	18000000	0.00093	0.00088	0.00277	0.00251	0.00019	0.00218	0.002755	0.00095	0.00189	0.001985	0.001845	0.00023
OX359246.1	18000000	18200000	0.001585	0.00085	0.00149	0.00164	0.001085	0.004285	0.000585	0.000955	0.001855	0.00104	0.002275	0.00155
OX359246.1	18200000	18400000	0.00032	0.001555	0.00061	0.001475	0.00031	0.005865	0.00042	0.00324	0.001405	0.001005	0.00707	0.000655
OX359246.1	18400000	18600000	0.00087	0.000785	0.001025	0.000845	0.00089	0.00172	0.00053	0.000695	0.00035	0.000305	0.00234	0.00064
OX359246.1	18600000	18800000	0.001905	0.001355	0.001485	0.001075	0.001945	0.00155	0.001405	0.000875	0.00152	0.001585	0.001815	0.00095
OX359246.1	18800000	19000000	0.002555	0.00327	0.00272	0.00285	0.00274	0.00273	0.003245	0.004075	0.002735	0.00239	0.00267	0.00349
OX359246.1	19000000	19200000	0.001895	0.00071	0.001895	0.0015	0.00171	0.00244	0.0014	0.00352	0.00126	0.00067	0.002435	0.00089
OX359246.1	19200000	19400000	0.00698	0.000655	0.005345	0.002875	0.00757	0.003195	0.007125	0.002105	0.00624	0.002805	0.00794	0.00054
OX359246.1	19400000	19600000	0.00401	0.00305	0.00243	0.00293	0.00078	0.00496	0.002145	0.002285	0.00284	0.002925	0.007105	0.002355
OX359246.1	19600000	19800000	0.002345	0.00126	0.002565	0.00243	0.00083	0.00307	0.002215	0.00186	0.001795	0.001235	0.00408	0.002125
OX359246.1	19800000	20000000	0.000225	5e-05	0.01156	0.010735	0.001105	0.009375	0.00038	0.01069	0.011375	0.01158	0.012935	2.5e-05
OX359246.1	20000000	20200000	0.00216	0.00063	0.00191	0.00203	0.00258	0.00785	0.001795	0.00081	0.00316	0.00066	0.00979	0.002205
OX359246.1	20200000	20400000	0.003485	0.004255	0.00229	0.002875	0.00223	0.008455	0.00289	0.003015	0.004155	0.00244	0.011955	0.00159
OX359246.1	20400000	20600000	0.003165	0.000475	0.00109	0.000425	0.00515	0.00771	0.00091	0.000335	0.00505	0.00471	0.010335	0.00059
OX359246.1	20600000	20800000	0.005015	0.0004	0.00191	0.00041	0.001295	0.00547	0.001025	0.000505	0.00196	2e-05	0.00554	0.00119
OX359246.1	20800000	21000000	0.00196	0.00072	0.000465	0.001075	0.00057	0.00489	0.000775	0.001035	0.000475	0.000435	0.005465	0.000585
OX359246.1	21000000	21200000	0.001595	0.00159	0.00142	0.00252	0.002505	0.00487	0.00243	0.001915	0.004215	0.001725	0.008885	0.00189
OX359246.1	21200000	21400000	0.004675	0.003725	0.003405	0.00381	0.002445	0.00499	0.00425	0.004235	0.001215	0.00415	0.007435	0.001255
OX359246.1	21400000	21600000	0.002915	0.003775	0.00566	0.004215	0.00184	0.008455	0.00445	0.00491	0.00581	0.001515	0.01108	0.002295
OX359246.1	21600000	21800000	0.00097	0.000205	0.000245	0.000175	0.000105	0.005745	0.000775	0.000485	0.000225	0.000275	0.005375	0.000105
OX359246.1	21800000	22000000	0.00079	0.000105	0.00011	7.5e-05	0.00013	0.00552	0.000805	0.0001	0.000135	0.00012	0.00692	0.000135
OX359246.1	22000000	22200000	0.001985	0.001465	0.00194	0.00198	0.002705	0.009025	0.001285	0.0016	0.00294	0.002495	0.0117	0.002455
OX359246.1	22200000	22400000	0.002825	0.00318	0.002555	0.00282	0.00325	0.008335	0.00275	0.003115	0.00394	0.00403	0.009005	0.00373
OX359246.1	22400000	22600000	0.00199	0.004335	0.003195	0.003995	0.00352	0.00321	0.00517	0.00159	0.00447	0.00368	0.005635	0.003425
OX359246.1	22600000	22800000	0.000735	0.00546	0.000175	0.000155	0.00552	0.00069	0.005265	0.000155	0.001655	0.00034	0.00441	2e-05
OX359246.1	22800000	23000000	0.00077	0.00089	0.003945	0.00044	0.00371	0.00031	0.00079	0.00082	0.00409	0.0004	0.003825	0.00034
OX359246.1	23000000	23200000	0.003785	0.00205	0.002295	0.00323	0.003065	0.00375	0.003625	0.00377	0.003165	0.002075	0.00892	0.001655
OX359246.1	23200000	23400000	0.00141	0.0017	0.003715	0.001695	0.001365	0.00563	0.001665	0.001225	0.00116	0.001615	0.007975	0.001855
OX359246.1	23400000	23600000	0.00117	0.00167	0.001305	0.0004	0.000345	0.00429	0.00123	0.0009	0.002855	0.00223	0.001985	0.00128
OX359246.1	23600000	23800000	0.000335	0.004615	0.000295	0.00366	0.00266	0.00482	0.000185	0.00097	0.00125	0.00271	0.002485	0.00292
OX359246.1	23800000	24000000	0.00032	0.001665	0.00023	0.002145	0.00017	0.00416	0.000245	0.001685	0.00159	5.5e-05	0.00421	0.001405
OX359246.1	24000000	24200000	0.00125	0.00156	0.000795	0.00052	0.001795	0.00398	0.0005	0.000465	0.00074	0.0019	0.003965	6e-05
OX359246.1	24200000	24400000	0.002115	0.002	0.002575	0.000295	0.001475	0.005005	0.000865	0.001135	0.00029	0.001725	0.00656	0.000925
OX359246.1	24400000	24600000	0.00185	0.001435	0.00163	0.001575	0.001915	0.00807	0.00266	0.002075	0.00097	0.00132	0.00335	0.001495
OX359246.1	24600000	24800000	0.000925	0.00232	0.001725	0.001535	0.00123	0.00801	0.00129	0.00077	0.0039	0.00117	0.00702	0.001355
OX359246.1	24800000	25000000	0.00191	0.00137	0.001525	0.004715	0.00571	0.00641	0.00571	0.000535	0.004095	0.000155	0.005905	0.00462
OX359246.1	25000000	25200000	0.00073	0.00173	0.00104	0.001495	0.00214	0.004095	0.00159	0.00141	0.001305	0.000615	0.004205	0.000805
OX359246.1	25200000	25400000	0.006335	0.007175	0.00525	0.006525	0.00663	0.00989	0.005065	0.00684	0.006885	0.008035	0.008715	0.0066
OX359246.1	25400000	25600000	0.00226	0.003745	0.005605	0.00323	0.00147	0.007745	0.003895	0.00415	0.003405	0.00287	0.00629	0.00338
OX359246.1	25600000	25800000	0.004075	0.0038	0.00493	0.002195	0.003305	0.006265	0.002485	0.00198	0.00357	0.00287	0.006785	0.003875
OX359246.1	25800000	26000000	0.00138	0.001505	0.00209	0.00285	0.002365	0.003445	0.001645	0.00231	0.00267	0.00237	0.002415	0.001095
OX359246.1	26000000	26200000	0.000645	0.00359	0.000585	0.000295	0.00063	0.004515	0.000825	0.0002	0.00066	0.00129	0.005575	0.00078
OX359246.1	26200000	26400000	0.0018	0.00076	0.00236	0.00133	0.00254	0.00682	0.00085	0.00057	0.00262	0.001475	0.006155	0.00081
OX359246.1	26400000	26600000	0.00647	0.003145	0.00182	0.008245	0.004	0.00903	0.00097	0.006585	0.003995	0.00737	0.00964	0.00487
OX359246.1	26600000	26800000	0.00312	0.00242	0.003425	0.002905	0.00168	0.00774	0.001695	0.00395	0.00153	0.00417	0.009785	0.00369
OX359246.1	26800000	27000000	0.00173	0.001385	0.002805	0.00291	0.00132	0.007445	0.001095	0.001605	0.000265	0.002675	0.005935	0.00347
OX359246.1	27000000	27200000	0.000975	0.000485	0.000445	0.00074	0.000915	0.00655	0.00081	0.001165	0.000795	0.000745	0.005085	0.000855
OX359246.1	27200000	27400000	0.00355	0.00448	0.00462	0.002495	0.00247	0.01209	0.002755	0.004655	0.002405	0.004225	0.00634	0.00224
OX359246.1	27400000	27600000	0.000615	0.002745	0.002625	0.002445	0.002595	0.00697	0.00097	0.002045	0.003135	0.00127	0.00332	0.00081
OX359246.1	27600000	27800000	0.00078	0.000765	0.000485	0.00073	0.00647	0.00704	0.00065	0.006505	0.006785	0.0008	0.001485	0.00687
OX359246.1	27800000	28000000	0.000815	0.00083	0.000825	0.000685	0.004565	0.00443	0.00081	0.004515	0.004595	0.00085	0.00123	0.004625
OX359246.1	28000000	28200000	0.00219	0.00219	0.000575	0.00054	0.00749	0.00782	0.00234	0.0073	0.00652	0.00209	0.003995	0.005995
OX359246.1	28200000	28400000	0.00232	0.00613	0.001655	0.0054	0.00493	0.006005	0.007835	0.002215	0.00672	0.00342	0.005195	0.003675
OX359246.1	28400000	28600000	0.00028	0.001755	0.00113	0.00022	0.00028	0.000275	0.000475	0.001575	0.00091	0.001835	0.00031	0.002405
OX359246.1	28600000	28800000	7.5e-05	0.000845	0.00018	8.5e-05	0.000115	0.001335	0.00022	0.000795	0.000615	0.001495	0.000995	0.001355
OX359246.1	28800000	29000000	1.5e-05	0.000205	3e-05	6.5e-05	2.5e-05	0.00084	5e-05	0.000195	2e-05	0.000845	0.00021	0.000765
OX359246.1	29000000	29200000	5e-05	0.00159	0.00181	0.001305	0.00041	0.000915	0.001345	0.001865	0.000265	0.00162	0.00202	0.00281
OX359246.1	29200000	29400000	0.00058	0.00165	0.001805	0.001535	0.000635	0.00165	0.002165	0.00238	0.000475	0.00239	0.00291	0.0035
OX359246.1	29400000	29600000	0.011455	0.00875	0.003745	0.00646	0.001675	0.002885	0.00833	0.0077	0.00687	0.004685	0.011575	0.010945
OX359246.1	29600000	29800000	0.009535	0.00152	0.004365	0.003925	0.001095	0.00671	0.00735	0.00447	0.007395	0.00089	0.00925	0.00272
OX359246.1	29800000	30000000	0.00334	0.003645	0.002185	0.00294	0.004415	0.003795	0.00363	0.003875	0.003805	0.001835	0.00182	0.002075
OX359246.1	30000000	30200000	0.000715	0.00251	0.000845	0.001115	0.00138	0.00106	0.001605	0.00117	0.0019	0.001255	0.002215	0.001515
OX359246.1	30200000	30400000	0.002285	0.00225	0.00213	0.00235	0.00413	0.000465	0.001005	0.00238	0.001085	0.00107	0.00319	0.00147
OX359246.1	30400000	30600000	0.000495	0.00115	0.00167	0.00074	0.00145	0.000695	0.00092	0.001625	0.000605	0.001065	0.0051	0.001425
OX359246.1	30600000	30800000	0.00064	0.00262	0.000795	0.000755	0.002345	0.0035	0.0007	0.000585	0.002515	0.00064	0.002675	0.00226
OX359246.1	30800000	31000000	0.00122	0.00094	0.0013	0.00105	0.00115	0.001005	0.000705	0.000505	0.00113	0.001275	0.00304	0.00116
OX359246.1	31000000	31200000	0.00057	0.00069	0.00126	0.001315	0.00083	0.00031	0.00128	0.001555	0.00035	0.000295	0.007175	0.00078
OX359246.1	31200000	31400000	0.002735	0.002235	9.5e-05	0.00017	0.002835	0.00512	0.00265	0.00219	0.001285	0.00168	0.007195	0.00116
OX359246.1	31400000	31600000	0.000675	0.00075	0.000665	0.000695	0.0007	0.00071	0.000725	0.00076	0.000775	0.00066	0.00571	0.000725
OX359246.1	31600000	31800000	3e-05	0.0025	6.5e-05	0.00046	9e-05	9.5e-05	0.000645	0.000245	0.00032	0.00013	0.00658	0.00032
OX359246.1	31800000	32000000	0.005925	0.00779	0.00063	0.000375	0.00563	0.001055	0.00097	0.00056	0.001015	0.00039	0.00585	0.00053
OX359246.1	32000000	32200000	0.011265	0.001485	0.004045	0.00263	0.011065	0.001285	0.00359	0.001325	0.00029	0.00589	0.01144	0.001345
OX359246.1	32200000	32400000	0.00193	0.000195	0.00057	0.001275	0.003975	0.0002	0.0056	0.00028	0.000165	0.002175	0.005955	0.00028
OX359246.1	32400000	32600000	0.000845	0.00117	0.000705	0.001745	0.001795	0.00101	0.00184	0.00117	0.00158	0.00403	0.006415	0.001195
OX359246.1	32600000	32800000	0.001695	0.00197	0.000345	0.000485	0.00029	0.00127	0.0029	0.00024	0.000715	0.00145	0.00604	0.000485
OX359246.1	32800000	33000000	0.00281	0.00339	0.001915	0.00242	0.00286	0.0031	0.00254	0.00191	0.00373	0.00214	0.004435	0.001115
OX359246.1	33000000	33200000	0.002465	0.00189	0.002225	0.00183	0.00134	0.00241	0.00223	0.0007	0.001395	0.00185	0.00486	0.002065
OX359246.1	33200000	33400000	0.00156	0.00152	0.001875	0.0017	0.0021	0.00155	0.002175	0.00149	0.00185	0.001685	0.00591	0.00176
OX359246.1	33400000	33600000	0.001185	0.00097	0.00094	0.00058	0.00099	0.001115	0.001675	0.001155	0.00163	0.00128	0.00237	0.001265
OX359246.1	33600000	33800000	0.00621	0.00103	0.004555	0.00531	0.004815	0.009295	0.0061	0.002265	0.001175	0.000335	0.007655	0.00667
OX359246.1	33800000	34000000	0.00057	0.001235	0.001515	0.000965	0.000995	0.00224	0.000885	0.00146	0.00139	0.0008	0.003905	0.001365
OX359246.1	34000000	34200000	0.00088	0.00101	0.004905	0.001105	0.000855	0.001245	0.000435	0.00127	0.001065	0.00044	0.002915	0.00173
OX359246.1	34200000	34400000	0.00357	0.004665	0.003195	0.00829	0.005875	0.00598	0.00202	0.00339	0.00517	0.003535	0.0045	0.004475
OX359246.1	34400000	34600000	0.001245	0.002345	0.002605	0.00233	0.000455	0.00083	0.000785	0.002195	0.00047	0.00263	0.005445	0.001525
OX359246.1	34600000	34800000	0.001745	0.001915	0.00157	0.002275	0.001265	0.00873	0.001825	0.001755	0.00122	0.008555	0.00949	0.00194
OX359246.1	34800000	35000000	0.00271	0.002165	0.0016	0.004045	0.0021	0.00158	0.00266	0.004065	0.002435	0.00223	0.00665	0.004595
OX359246.1	35000000	35200000	0.002485	0.001805	0.0015	0.002615	0.00132	0.00327	0.00262	0.001605	0.000715	0.001055	0.008225	0.00125
OX359246.1	35200000	35400000	0.002	0.00241	0.00108	0.001315	0.002595	0.002135	0.00126	0.00296	0.00296	0.001935	0.00466	0.00372
OX359246.1	35400000	35600000	0.00083	0.00057	0.00073	0.000925	0.001335	0.00106	0.00086	0.00122	0.001265	0.001205	0.001375	0.000825
OX359246.1	35600000	35800000	0.00261	0.00287	0.000745	0.00192	0.001525	0.001395	0.001045	0.00149	0.003375	0.00486	0.003125	0.001955
OX359246.1	35800000	36000000	0.00289	0.001675	0.00148	0.001455	0.00178	0.001505	0.000975	0.001085	0.00166	0.0028	0.00434	0.00153
OX359246.1	36000000	36200000	0.000865	0.00259	0.00081	0.00244	0.002085	0.00071	0.00271	0.000465	0.000835	0.002645	0.005215	0.002195
OX359246.1	36200000	36400000	0.000605	0.000485	0.000495	0.000385	0.00061	0.000325	0.000725	0.00042	0.00062	0.000755	0.001885	0.00054
OX359246.1	36400000	36600000	0.00448	0.00579	0.003905	0.005285	0.00284	0.004425	0.004815	0.005175	0.00359	0.00372	0.00551	0.006045
OX359246.1	36600000	36800000	0.00255	0.003775	0.003225	0.00268	0.003355	0.00233	0.00262	0.001385	0.00258	0.00223	0.005605	0.003365
OX359246.1	36800000	37000000	0.0049	0.004525	0.003465	0.004115	0.005135	0.00652	0.00268	0.003535	0.001695	0.00192	0.007875	0.00218
OX359246.1	37000000	37200000	0.004675	0.00148	0.00325	0.00415	0.004335	0.003395	0.007395	0.002955	0.008065	0.000685	0.006695	0.00341
OX359246.1	37200000	37400000	0.001835	0.000575	0.00123	0.00042	0.000455	0.00124	0.000665	0.00208	0.000675	0.000925	0.001575	0.00072
OX359246.1	37400000	37600000	0.001005	0.000785	0.00331	0.001685	0.002675	0.001245	0.00097	0.000955	0.00107	0.001865	0.00057	0.00112
OX359246.1	37600000	37800000	0.001185	0.001085	0.000725	0.00065	0.00108	0.00046	0.00062	0.000705	0.000665	0.000545	0.005735	0.00059
OX359246.1	37800000	38000000	0.000205	0.00054	0.00105	0.000165	0.0004	0.000885	0.000435	0.000365	0.00096	0.000395	0.00655	0.00037
OX359246.1	38000000	38200000	0.001175	0.001125	0.001895	0.00145	0.003045	0.001705	0.002965	0.002845	0.00145	0.00094	0.004995	0.00075
OX359246.1	38200000	38400000	0.00084	0.00113	0.001735	0.00201	0.00159	0.00221	0.002135	0.000925	0.00107	0.002165	0.00383	0.001755
OX359246.1	38400000	38600000	0.00314	0.00218	0.0018	0.002545	0.00452	0.00283	0.003765	0.005215	0.002875	0.003215	0.00893	0.002385
OX359246.1	38600000	38800000	0.00232	0.00232	0.008275	0.00823	0.002485	0.00218	0.00408	0.00238	0.00227	0.00906	0.009875	0.002425
OX359246.1	38800000	39000000	0.00293	0.00279	0.003995	0.00428	0.00267	0.001225	0.001335	0.003295	0.001085	0.00431	0.007725	0.003045
OX359246.1	39000000	39200000	0.007105	0.006185	0.003175	0.000875	0.003295	0.003545	0.00282	0.006645	0.00628	0.0029	0.00427	0.007165
OX359246.1	39200000	39400000	0.004605	0.004425	0.001325	0.004665	0.002025	0.001625	0.00137	0.004695	0.00483	0.00059	0.003965	0.00109
OX359246.1	39400000	39600000	0.0038	0.00276	0.004365	0.003485	0.00312	0.00267	0.00296	0.003355	0.003385	0.0029	0.00633	0.00367
OX359246.1	39600000	39800000	0.00201	0.00205	0.00243	0.00173	0.001055	0.00111	0.002225	0.00184	0.000715	0.002425	0.005125	0.001155
OX359246.1	39800000	40000000	0.00064	0.001015	0.00044	0.000395	0.000215	0.000435	0.00148	0.00173	0.001135	0.002805	0.00569	0.002365
OX359246.1	40000000	40200000	0.00099	0.000815	0.00021	6e-05	0.000445	0.00089	0.000245	0.003445	0.000955	0.00456	0.007115	0.00126
OX359246.1	40200000	40400000	0.003565	0.00175	0.001765	0.001755	0.00179	0.001765	0.00179	0.00175	0.00275	0.00251	0.00481	0.001785
OX359246.1	40400000	40600000	0.002005	0.000565	0.000735	0.000495	0.00073	0.00072	0.0006	0.00067	0.001755	0.00075	0.004955	0.00058
OX359246.1	40600000	40800000	0.001085	0.003375	0.000915	0.002895	0.00191	0.00105	0.00108	0.00155	0.000835	0.00068	0.005835	0.002275
OX359246.1	40800000	41000000	5e-05	9e-05	5.5e-05	0.00028	5.5e-05	0.000235	0.000255	6e-05	0.000245	0.00023	0.00409	2e-05
OX359246.1	41000000	41200000	5.5e-05	6e-05	5e-05	5.5e-05	7e-05	4e-05	3e-05	5e-05	6.5e-05	3.5e-05	0.00846	6e-05
OX359246.1	41200000	41400000	0.001	0.00156	0.00173	0.00139	0.00108	0.00057	0.00084	0.00116	0.00113	0.00049	0.006475	0.00126
OX359246.1	41400000	41600000	0.001485	0.001505	0.00247	0.00249	0.001295	0.0014	0.0022	0.0017	0.00254	0.00186	0.003775	0.001235
OX359246.1	41600000	41800000	5e-06	0.0	5e-06	0.000165	5e-06	0.00017	5e-06	0.0	0.0	0.00017	0.00016	0.0
OX359246.1	41800000	42000000	0.002015	0.002125	0.00721	0.003575	0.007305	0.00905	0.00381	0.00031	0.00382	0.00561	0.01004	0.000505
OX359246.1	42000000	42200000	0.003665	0.0044	0.00119	0.00115	0.002215	0.0005	0.000655	0.00078	0.00264	0.00206	0.00466	0.0027
OX359246.1	42200000	42400000	0.005055	0.00493	0.003425	0.00409	0.00495	0.000415	0.00259	0.003285	0.00154	0.001295	0.007115	0.00302
OX359246.1	42400000	42600000	0.00262	0.00213	0.000745	0.00127	0.002165	0.002165	0.00263	0.000745	0.00055	0.003235	0.006025	0.00082
OX359246.1	42600000	42800000	0.000235	0.000165	0.00165	0.000135	0.00029	0.000185	0.00029	8e-05	0.00018	0.00022	0.004115	0.000225
OX359246.1	42800000	43000000	0.004605	0.005445	0.004715	3e-05	0.00463	3.5e-05	0.004715	5e-06	0.005155	5e-06	0.000565	0.004805
OX359246.1	43000000	43200000	0.010805	0.01094	0.01088	8e-05	0.01074	0.000125	0.01065	4.5e-05	0.010775	9.5e-05	0.00286	0.01088
OX359246.1	43200000	43400000	0.001195	0.001605	0.001705	1.5e-05	0.001225	5e-06	0.001355	5.5e-05	0.00161	0.0008	2e-05	0.00234
OX359246.1	43400000	43600000	0.00085	0.001175	0.00093	0.000595	0.000705	0.000225	0.00073	0.003375	0.000975	0.002545	0.00039	0.000365
OX359246.1	43600000	43800000	0.002305	0.00105	0.002695	0.00172	0.002	0.00014	0.00108	0.000255	0.00109	0.00036	0.000155	0.000245
OX359246.1	43800000	44000000	0.00037	0.001105	0.00071	0.000805	0.000835	0.000445	0.000605	0.00107	0.000455	0.00062	5.5e-05	0.001425
OX359246.1	44000000	44200000	0.000905	0.00099	0.00196	0.00251	0.002285	0.00102	0.00226	0.001595	0.00105	0.002035	0.00023	0.001595
OX359246.1	44200000	44400000	0.001545	0.001835	0.0041	0.00384	0.00082	0.00069	0.00237	0.001365	0.00158	0.001325	0.00076	0.00152
OX359246.1	44400000	44600000	0.00049	2.5e-05	0.000575	0.000125	0.000555	3e-05	0.0006	6.5e-05	0.00017	0.000275	2e-05	0.000165
OX359246.1	44600000	44800000												
OX359246.1	44800000	45000000	0.00178	0.001215	0.000585	0.000525	0.0016	0.001855	0.000835	0.001805	0.0014	0.00189	0.000375	0.001395
OX359246.1	45000000	45200000	0.00101	0.000495	0.001925	0.002065	0.002885	0.00032	0.00086	0.00059	0.00116	0.00077	8.5e-05	0.00196
OX359246.1	45200000	45400000	0.00155	0.001075	0.00119	0.00149	0.001515	0.00063	0.000675	0.00212	0.002075	0.00073	0.00036	0.000835
OX359246.1	45400000	45600000	0.001995	0.00244	0.002335	0.002615	0.002335	0.002145	0.00207	0.001615	0.002315	0.00158	0.00072	0.00221
OX359246.1	45600000	45800000	0.00204	0.00242	0.00221	0.00227	0.001115	0.002565	0.001735	0.000885	0.001585	0.00307	4e-05	0.002225
OX359246.1	45800000	46000000	0.00137	0.002165	0.00204	0.00035	0.001365	0.000695	0.000735	0.001085	0.002015	0.00055	5e-06	0.002
OX359246.1	46000000	46200000	0.00096	0.001615	0.00084	0.0	0.001495	0.001645	0.000515	0.00037	0.00153	0.00124	1e-05	0.00165
OX359246.1	46200000	46400000	0.00025	0.002475	0.002525	1.5e-05	0.00244	0.002545	0.00197	0.003505	0.00133	0.00326	6.5e-05	0.000155
OX359246.1	46400000	46600000	0.00085	0.001325	0.00036	0.00071	0.000845	0.000465	0.001285	0.00036	0.00395	0.0009	0.00046	0.0008
OX359246.1	46600000	46800000	0.000535	0.000335	0.002025	0.00029	0.00069	0.00039	0.000325	0.00034	0.000275	0.00056	4e-05	0.00061
OX359246.1	46800000	47000000	0.002175	0.0008	0.00642	0.002225	0.003655	0.001155	0.001025	0.00087	0.00552	0.00234	0.00047	0.00281
OX359246.1	47000000	47200000	0.000385	0.000155	0.00336	0.00041	0.00018	0.002095	0.000125	0.003325	0.000205	0.000695	0.00019	0.00026
OX359246.1	47200000	47400000	0.00048	0.00028	0.00022	0.0003	0.00045	0.00068	0.00021	0.000205	0.00038	0.000245	0.00014	0.00025
OX359246.1	47400000	47600000	0.000515	0.00058	0.002565	0.002835	0.000935	0.00245	0.00258	0.00291	0.001025	0.0014	0.000325	0.002755
OX359246.1	47600000	47800000	0.002085	0.00205	0.00282	0.002925	0.003615	0.0027	0.00216	0.00183	0.001975	0.00313	0.00014	0.00285
OX359246.1	47800000	48000000	0.00314	0.001705	0.001335	0.001885	0.000705	0.001995	0.00043	0.00126	0.0002	0.00184	2e-05	0.001715
OX359246.1	48000000	48200000	0.00126	7.5e-05	0.000955	0.000745	0.00037	5.5e-05	0.00022	0.00068	0.000625	0.000145	2e-05	0.000635
OX359246.1	48200000	48400000	9.5e-05	0.000725	0.002145	0.003585	0.001855	0.00145	0.00246	0.00309	0.00167	7.5e-05	0.00053	0.002805
OX359246.1	48400000	48600000	0.000615	0.001225	0.0022	0.00134	0.001305	0.00146	0.0009	0.001275	0.001685	0.00116	0.0004	0.00217
OX359246.1	48600000	48800000	0.000285	0.000985	0.000975	0.00077	0.000155	0.00337	0.00298	0.003335	0.00049	0.000295	0.00102	0.00132
OX359246.1	48800000	49000000	3.5e-05	0.00036	0.000405	0.0003	0.0009	0.0013	0.00083	0.00109	0.000705	0.00053	2e-05	0.000495
